CCNumber,Company,Status,Amount,Date
5207829702606870,21Vianet Group Inc.,undisputed,4400,30/10/2018
3547170000000000,2U Inc.,undisputed,7059,30/10/2018
3538530478209610,3M Company,undisputed,8182,29/10/2018
633330240336426000,Abraxas Petroleum Corporation,undisputed,2769,29/10/2018
30247900270415,Acco Brands Corporation,disputed,7928,30/10/2018
5546031485583610,ADDvantage Technologies Group Inc.,undisputed,9866,29/10/2018
3573561638495680,ADTRAN Inc.,undisputed,1020,29/10/2018
30175504768312,Aflac Incorporated,undisputed,8652,30/10/2018
50383242458917400,Aldeyra Therapeutics Inc.,undisputed,2316,30/10/2018
30025340088484,Align Technology Inc.,undisputed,1417,29/10/2018
5602220000000000,ALJ Regional Holdings Inc.,undisputed,9347,29/10/2018
3574291835550090,Alliance World Dollar Government Fund II,undisputed,9856,30/10/2018
5578474064818190,AllianzGI Convertible & Income Fund,undisputed,1781,30/10/2018
3534878219482180,Allscripts Healthcare Solutions Inc.,undisputed,9913,29/10/2018
5018117833621990000,Allstate Corporation (The),disputed,2853,31/10/2018
560225445001230000,Amedisys Inc,undisputed,6251,31/10/2018
376830906612391,Ameresco Inc.,disputed,3700,29/10/2018
3571856663706920,American Assets Trust Inc.,undisputed,2311,30/10/2018
3544941837444430,American Eagle Outfitters Inc.,undisputed,7141,29/10/2018
3534725084426470,American States Water Company,undisputed,1292,29/10/2018
3570126913812330,ANSYS Inc.,undisputed,1440,30/10/2018
3566730000000000,Anthem Inc.,undisputed,4343,30/10/2018
3551717109942680,Apollo Commercial Real Estate Finance,disputed,7706,30/10/2018
4917220884067410,Aquinox Pharmaceuticals Inc.,disputed,7322,30/10/2018
3529040000000000,Archrock Inc.,disputed,3729,31/10/2018
3565460808233640,Ardagh Group S.A.,undisputed,3880,31/10/2018
3529010580751920,ARRIS International plc,undisputed,4090,31/10/2018
201691395094033,Asbury Automotive Group Inc,undisputed,6208,31/10/2018
201952252883953,Ascendis Pharma A/S,disputed,9053,31/10/2018
5602218754092650,Asia Tigers Fund Inc. (The),undisputed,4917,31/10/2018
6759674157150380000,Astrazeneca PLC,undisputed,9211,31/10/2018
374622110881868,AstroNova Inc.,undisputed,3592,29/10/2018
3534859547977540,Avenue Income Credit Strategies Fund,disputed,8702,30/10/2018
3584200000000000,Avenue Therapeutics Inc.,undisputed,4852,29/10/2018
670681605603154000,Aviat Networks Inc.,disputed,5239,31/10/2018
30245388065760,Avis Budget Group Inc.,disputed,6352,31/10/2018
670936967349625000,AXT Inc,disputed,5931,29/10/2018
6333421339896360000,B Communications Ltd.,disputed,7232,29/10/2018
5641824877945390000,B.O.S. Better Online Solutions,undisputed,3061,31/10/2018
201417363261853,Badger Meter Inc.,undisputed,4773,29/10/2018
3556963530530050,Banc of California Inc.,undisputed,2367,29/10/2018
5573762010429660,Banco Santander Brasil SA,disputed,6649,29/10/2018
3580469813897820,Bank of America Corporation,disputed,2248,30/10/2018
3580635304032930,Bank of America Corporation,disputed,7299,31/10/2018
30518899462605,Bank of South Carolina Corp.,disputed,6235,29/10/2018
3533582144495400,Barings Participation Investors,undisputed,1998,31/10/2018
5007663680665850,Barnes & Noble Inc.,undisputed,9694,30/10/2018
3537376151020790,BBVA Banco Frances S.A.,undisputed,9674,29/10/2018
5270693624564640,Bellatrix Exploration Ltd,disputed,9199,31/10/2018
5126769663243330,Bellicum Pharmaceuticals Inc.,undisputed,4882,31/10/2018
3567214813136700,Biglari Holdings Inc.,disputed,6546,31/10/2018
675960500013574000,BioLife Solutions Inc.,undisputed,3762,29/10/2018
3530619573880700,BJ's Restaurants Inc.,disputed,9602,31/10/2018
4175009704740750,Black Box Corporation,undisputed,8564,29/10/2018
3542675666482940,Blackrock MuniAssets Fund Inc.,disputed,6828,29/10/2018
3574648447355590,Blackrock MuniAssets Fund Inc.,disputed,6293,30/10/2018
344744730786546,BlackRock Inc.,disputed,7686,29/10/2018
4405661591037630,Bob Evans Farms Inc.,disputed,5480,29/10/2018
201857923472799,Boingo Wireless Inc.,disputed,2201,29/10/2018
3532311002607720,Boston Private Financial Holdings Inc.,undisputed,1334,31/10/2018
3544438981767990,Brightcove Inc.,disputed,2936,31/10/2018
3579109723072650,Brookdale Senior Living Inc.,disputed,1023,30/10/2018
3548591660069580,BullMark LatAm Select Leaders ETF,disputed,3644,30/10/2018
3537000000000000,Burcon NutraScience Corp,disputed,2343,29/10/2018
561021488531161000,C,disputed,7006,31/10/2018
3563086823177290,C.R. Bard Inc.,disputed,8956,29/10/2018
