id,First Name,Last Name,Age,Grade,Country
1,Lettie,Jachimczak,14,10.0,Mozambique
2,Ed,Quinnette,14,7.9,China
3,Silvanus,Baseggio,13,5.2,Thailand
4,Corrinne,Jakubovitch,16,4.0,Indonesia
5,Nils,Loomes,16,6.7,China
6,Wash,Bartolozzi,16,5.2,Nigeria
7,Gavin,Semon,15,2.9,Myanmar
8,Julita,Pulsford,16,4.5,Philippines
9,Bastien,Hierro,16,2.0,China
10,Rheta,Locock,16,,Russia
11,Bentlee,Blackah,15,0.7,Indonesia
12,Lianna,Darkins,15,7.2,Philippines
13,Gabriellia,Pesek,13,1.7,East Timor
14,Annamarie,Wychard,15,3.6,Vietnam
15,Kirsten,McIlwrath,14,3.5,Indonesia
16,Kariotta,Zorzi,13,8.7,Syria
17,Kimberley,Sandifer,15,4.1,Bolivia
18,Cazzie,Lyford,16,2.0,Finland
19,Rainer,Bridle,16,1.9,American Samoa
20,Cornelius,Chiverstone,16,7.9,Ireland
21,Idette,Dunbar,16,4.9,Russia
22,Morena,Langforth,16,2.0,China
23,Bonnibelle,Stenton,13,2.6,Brazil
24,Gabbey,Motton,13,6.7,Colombia
25,Augy,Wilcockes,16,3.4,Philippines
26,Yvonne,Peskett,13,6.7,Chad
27,Stevena,Aughton,15,8.1,Finland
28,Kandace,Scanterbury,14,0.8,Kenya
29,Welbie,Espine,14,4.6,Czech Republic
30,Mair,Tulleth,13,2.0,Poland
31,Ingram,Berceros,13,0.0,Greece
32,Keenan,Laurenty,13,9.6,Spain
33,Andria,Urridge,14,8.0,Indonesia
34,Arman,Feria,16,2.2,Belarus
35,Rafaela,Delacourt,13,9.0,Indonesia
36,Abagail,Tunnoch,14,6.2,Colombia
37,Ogden,Ranshaw,15,6.3,Indonesia
38,Violante,Medforth,16,5.7,Cape Verde
39,Burtie,Brandon,16,4.6,Nepal
40,Kris,Royds,13,0.1,Canada
41,Tyrus,Mowsdell,15,,Dominican Republic
42,Sosanna,Fountaine,15,4.4,Russia
43,Hugibert,Chaves,15,4.4,Bangladesh
44,Arron,Wavell,13,0.6,United States
45,Luca,Goddard,14,9.8,China
46,Clark,Orrell,16,6.3,Honduras
47,Caesar,Keddey,13,1.6,France
48,Koo,Clavey,13,1.3,China
49,Stacey,Simoens,16,4.3,Kazakhstan
50,Devland,Russilll,15,7.2,China
51,Patsy,Gresley,15,6.1,Croatia
52,Florrie,Belleny,14,7.1,France
53,Bram,Indge,13,1.8,China
54,Kim,Cruess,14,9.1,Honduras
55,Lottie,Birchner,15,3.4,Latvia
56,Kurt,Basant,13,8.7,Indonesia
57,Clarence,Whooley,13,8.9,Russia
58,Teodor,McArthur,15,6.8,Brazil
59,Chen,Janaszkiewicz,15,4.9,South Africa
60,Hunt,Mertgen,16,2.3,China
61,Sophie,Call,14,4.4,Thailand
62,Justin,Tiddy,16,4.3,Portugal
63,Hymie,Nuscha,13,6.8,Argentina
64,Rhonda,Balsellie,13,9.8,Guatemala
65,Scotti,Glaze,14,8.3,American Samoa
